iter	Passed	Remaining
0	45	36131
1	92	36741
2	139	36953
3	187	37368
4	238	37893
5	286	37921
6	335	38032
7	385	38151
8	432	38020
9	483	38220
10	533	38290
11	587	38601
12	641	38806
13	686	38567
14	733	38375
15	782	38363
16	830	38241
17	879	38192
18	925	38044
19	976	38100
20	1029	38191
21	1078	38133
22	1130	38200
23	1180	38182
24	1229	38103
25	1279	38089
26	1327	37996
27	1371	37822
28	1421	37782
29	1470	37735
30	1518	37663
31	1568	37642
32	1614	37529
33	1660	37407
34	1705	37286
35	1749	37138
36	1797	37073
37	1845	37000
38	1889	36871
39	1937	36820
40	1987	36784
41	2030	36643
42	2079	36616
43	2124	36507
44	2170	36416
45	2214	36298
46	2256	36156
47	2304	36109
48	2349	36010
49	2398	35974
50	2444	35903
51	2489	35806
52	2533	35705
53	2580	35643
54	2624	35550
55	2668	35455
56	2719	35450
57	2767	35408
58	2815	35362
59	2860	35274
60	2906	35208
61	2956	35190
62	3005	35162
63	3053	35113
64	3102	35086
65	3149	35024
66	3190	34905
67	3234	34821
68	3282	34779
69	3331	34742
70	3378	34688
71	3424	34625
72	3466	34523
73	3514	34480
74	3560	34416
75	3605	34349
76	3652	34292
77	3696	34211
78	3739	34132
79	3784	34064
80	3831	34011
81	3877	33950
82	3923	33896
83	3971	33849
84	4018	33802
85	4068	33779
86	4115	33728
87	4173	33767
88	4219	33708
89	4265	33649
90	4309	33575
91	4351	33486
92	4398	33437
93	4440	33351
94	4483	33269
95	4527	33204
96	4564	33082
97	4607	33002
98	4649	32925
99	4698	32890
100	4742	32823
101	4786	32757
102	4830	32690
103	4878	32650
104	4922	32580
105	4965	32512
106	5014	32480
107	5058	32410
108	5105	32362
109	5155	32341
110	5201	32284
111	5246	32229
112	5294	32190
113	5344	32163
114	5388	32095
115	5434	32046
116	5492	32063
117	5543	32038
118	5586	31972
119	5635	31933
120	5678	31867
121	5731	31850
122	5780	31813
123	5825	31756
124	5853	31610
125	5897	31546
126	5941	31486
127	5988	31441
128	6034	31388
129	6080	31337
130	6127	31294
131	6173	31240
132	6215	31171
133	6258	31104
134	6303	31049
135	6346	30987
136	6393	30940
137	6442	30904
138	6488	30854
139	6536	30815
140	6578	30747
141	6624	30697
142	6672	30657
143	6721	30619
144	6766	30564
145	6814	30524
146	6863	30490
147	6914	30462
148	6962	30418
149	7005	30356
150	7053	30315
151	7095	30250
152	7148	30229
153	7193	30176
154	7241	30132
155	7290	30097
156	7337	30049
157	7386	30011
158	7429	29952
159	7473	29894
160	7516	29834
161	7562	29784
162	7610	29741
163	7658	29701
164	7703	29647
165	7750	29599
166	7795	29549
167	7842	29502
168	7889	29457
169	7935	29409
170	7982	29362
171	8030	29321
172	8076	29272
173	8124	29229
174	8172	29186
175	8216	29132
176	8263	29085
177	8305	29022
178	8351	28975
179	8397	28924
180	8445	28881
181	8491	28835
182	8535	28778
183	8581	28729
184	8627	28680
185	8674	28635
186	8722	28591
187	8773	28559
188	8819	28512
189	8868	28472
190	8910	28411
191	8958	28369
192	9006	28325
193	9055	28286
194	9101	28236
195	9152	28206
196	9197	28153
197	9248	28118
198	9297	28078
199	9341	28025
200	9384	27966
201	9432	27925
202	9478	27873
203	9527	27835
204	9571	27780
205	9617	27732
206	9660	27673
207	9703	27616
208	9753	27581
209	9798	27528
210	9844	27481
211	9892	27437
212	9938	27389
213	9986	27345
214	10030	27291
215	10075	27240
216	10120	27189
217	10168	27147
218	10215	27100
219	10260	27051
220	10306	27003
221	10353	26956
222	10399	26908
223	10443	26854
224	10494	26818
225	10539	26769
226	10587	26725
227	10635	26682
228	10672	26611
229	10720	26567
230	10769	26526
231	10816	26482
232	10861	26431
233	10910	26391
234	10957	26345
235	11003	26297
236	11050	26251
237	11097	26203
238	11146	26164
239	11198	26130
240	11250	26095
241	11295	26044
242	11341	25996
243	11389	25953
244	11435	25905
245	11484	25864
246	11536	25827
247	11581	25777
248	11630	25735
249	11676	25687
250	11720	25636
251	11773	25603
252	11826	25568
253	11876	25529
254	11932	25501
255	11983	25464
256	12035	25428
257	12085	25388
258	12119	25315
259	12169	25275
260	12212	25219
261	12262	25179
262	12309	25133
263	12357	25089
264	12405	25044
265	12452	24998
266	12497	24947
267	12526	24865
268	12572	24816
269	12607	24747
270	12650	24694
271	12695	24644
272	12738	24590
273	12780	24535
274	12828	24491
275	12875	24444
276	12921	24397
277	12967	24348
278	13013	24301
279	13056	24248
280	13102	24199
281	13147	24150
282	13190	24097
283	13238	24053
284	13285	24007
285	13335	23966
286	13379	23915
287	13427	23871
288	13474	23825
289	13522	23780
290	13568	23733
291	13618	23691
292	13668	23651
293	13713	23602
294	13757	23551
295	13802	23501
296	13850	23457
297	13902	23419
298	13931	23342
299	13976	23293
300	14022	23246
301	14071	23203
302	14115	23153
303	14160	23103
304	14204	23053
305	14249	23003
306	14300	22964
307	14344	22914
308	14390	22866
309	14434	22815
310	14480	22768
311	14528	22724
312	14584	22692
313	14636	22654
314	14686	22613
315	14734	22568
316	14786	22529
317	14834	22484
318	14880	22437
319	14928	22392
320	14978	22351
321	15029	22310
322	15084	22276
323	15136	22237
324	15183	22190
325	15234	22150
326	15288	22115
327	15338	22072
328	15387	22028
329	15437	21987
330	15491	21950
331	15545	21913
332	15597	21873
333	15650	21835
334	15703	21797
335	15750	21751
336	15799	21707
337	15849	21664
338	15896	21617
339	15940	21567
340	15991	21525
341	16035	21474
342	16077	21421
343	16120	21369
344	16164	21319
345	16212	21273
346	16263	21232
347	16309	21183
348	16352	21131
349	16399	21085
350	16444	21036
351	16490	20988
352	16538	20941
353	16585	20896
354	16634	20851
355	16680	20803
356	16729	20759
357	16776	20713
358	16824	20667
359	16873	20622
360	16916	20571
361	16967	20529
362	17013	20481
363	17056	20430
364	17100	20380
365	17156	20344
366	17198	20291
367	17245	20244
368	17293	20199
369	17337	20149
370	17387	20105
371	17434	20058
372	17486	20018
373	17533	19971
374	17580	19924
375	17627	19877
376	17674	19830
377	17720	19783
378	17768	19737
379	17810	19685
380	17858	19640
381	17906	19594
382	17952	19546
383	18000	19500
384	18056	19463
385	18111	19425
386	18167	19387
387	18214	19341
388	18265	19298
389	18314	19253
390	18357	19202
391	18404	19156
392	18451	19108
393	18498	19061
394	18544	19013
395	18591	18966
396	18639	18921
397	18686	18874
398	18734	18828
399	18782	18782
400	18832	18738
401	18875	18687
402	18926	18644
403	18975	18599
404	19028	18558
405	19079	18516
406	19132	18474
407	19185	18432
408	19233	18386
409	19283	18343
410	19336	18301
411	19385	18256
412	19440	18216
413	19489	18171
414	19536	18124
415	19580	18074
416	19629	18029
417	19673	17979
418	19718	17930
419	19761	17879
420	19808	17832
421	19854	17784
422	19902	17737
423	19945	17687
424	19992	17640
425	20041	17594
426	20084	17544
427	20131	17497
428	20181	17452
429	20225	17403
430	20272	17355
431	20317	17307
432	20360	17257
433	20407	17209
434	20453	17162
435	20502	17116
436	20545	17066
437	20592	17019
438	20639	16971
439	20685	16924
440	20727	16873
441	20774	16826
442	20820	16778
443	20870	16734
444	20918	16688
445	20961	16637
446	21007	16590
447	21054	16543
448	21100	16495
449	21146	16447
450	21197	16403
451	21238	16351
452	21283	16303
453	21329	16255
454	21379	16210
455	21423	16161
456	21469	16113
457	21513	16064
458	21559	16017
459	21604	15968
460	21646	15917
461	21693	15871
462	21738	15822
463	21784	15775
464	21833	15729
465	21878	15681
466	21929	15636
467	21970	15586
468	22013	15536
469	22061	15489
470	22107	15442
471	22156	15396
472	22209	15353
473	22258	15308
474	22302	15259
475	22348	15212
476	22399	15167
477	22447	15121
478	22492	15073
479	22541	15027
480	22588	14980
481	22635	14933
482	22685	14889
483	22736	14844
484	22782	14796
485	22828	14749
486	22875	14702
487	22922	14655
488	22968	14607
489	23015	14561
490	23059	14512
491	23106	14464
492	23154	14418
493	23197	14369
494	23242	14320
495	23288	14273
496	23331	14224
497	23375	14175
498	23425	14130
499	23470	14082
500	23516	14034
501	23562	13987
502	23609	13940
503	23656	13893
504	23703	13846
505	23750	13799
506	23796	13751
507	23841	13704
508	23889	13657
509	23936	13611
510	23984	13564
511	24034	13519
512	24076	13469
513	24124	13423
514	24179	13380
515	24223	13332
516	24269	13284
517	24317	13238
518	24363	13191
519	24407	13142
520	24452	13094
521	24496	13046
522	24542	12998
523	24587	12950
524	24638	12905
525	24684	12858
526	24729	12810
527	24774	12762
528	24817	12713
529	24866	12667
530	24910	12619
531	24952	12570
532	25003	12525
533	25052	12479
534	25099	12432
535	25148	12386
536	25197	12340
537	25245	12294
538	25291	12247
539	25339	12200
540	25386	12153
541	25431	12105
542	25477	12058
543	25519	12009
544	25569	11963
545	25615	11916
546	25659	11868
547	25708	11822
548	25757	11776
549	25809	11731
550	25857	11685
551	25907	11639
552	25948	11589
553	25993	11542
554	26037	11493
555	26083	11446
556	26137	11402
557	26181	11354
558	26227	11307
559	26272	11259
560	26317	11211
561	26366	11165
562	26411	11118
563	26455	11069
564	26503	11023
565	26550	10976
566	26598	10930
567	26646	10883
568	26698	10838
569	26742	10790
570	26790	10744
571	26836	10697
572	26887	10651
573	26934	10604
574	26980	10557
575	27025	10510
576	27074	10463
577	27123	10417
578	27174	10372
579	27221	10325
580	27274	10280
581	27322	10234
582	27368	10186
583	27418	10140
584	27464	10093
585	27513	10047
586	27561	10000
587	27608	9954
588	27653	9906
589	27700	9859
590	27749	9813
591	27791	9764
592	27837	9717
593	27885	9670
594	27928	9622
595	27971	9574
596	28024	9529
597	28073	9483
598	28122	9436
599	28176	9392
600	28229	9347
601	28283	9302
602	28337	9257
603	28388	9212
604	28433	9164
605	28468	9113
606	28514	9066
607	28557	9018
608	28601	8970
609	28646	8922
610	28688	8874
611	28732	8826
612	28780	8779
613	28822	8731
614	28868	8684
615	28917	8637
616	28964	8590
617	29008	8542
618	29055	8495
619	29097	8447
620	29148	8402
621	29195	8354
622	29242	8308
623	29289	8261
624	29333	8213
625	29379	8166
626	29424	8118
627	29466	8070
628	29511	8023
629	29561	7976
630	29604	7928
631	29650	7881
632	29701	7835
633	29756	7791
634	29808	7745
635	29860	7699
636	29907	7652
637	29949	7604
638	29994	7557
639	30041	7510
640	30088	7463
641	30136	7416
642	30183	7369
643	30226	7322
644	30273	7274
645	30315	7226
646	30365	7180
647	30413	7134
648	30463	7087
649	30514	7041
650	30566	6996
651	30621	6950
652	30677	6905
653	30727	6859
654	30776	6813
655	30820	6765
656	30862	6717
657	30906	6669
658	30952	6622
659	31000	6575
660	31045	6528
661	31090	6481
662	31135	6433
663	31186	6387
664	31231	6340
665	31282	6294
666	31327	6246
667	31375	6200
668	31418	6152
669	31463	6104
670	31509	6057
671	31553	6010
672	31597	5962
673	31645	5915
674	31687	5868
675	31738	5821
676	31788	5775
677	31835	5728
678	31884	5681
679	31926	5634
680	31971	5586
681	32018	5539
682	32066	5493
683	32114	5446
684	32161	5399
685	32209	5352
686	32259	5306
687	32305	5259
688	32349	5211
689	32396	5164
690	32442	5117
691	32487	5070
692	32528	5022
693	32575	4975
694	32613	4927
695	32660	4880
696	32708	4833
697	32751	4785
698	32794	4738
699	32841	4691
700	32884	4644
701	32934	4597
702	32981	4550
703	33026	4503
704	33074	4456
705	33122	4410
706	33171	4363
707	33218	4316
708	33263	4269
709	33311	4222
710	33351	4174
711	33397	4127
712	33439	4080
713	33491	4033
714	33537	3986
715	33581	3939
716	33627	3892
717	33674	3845
718	33720	3798
719	33765	3751
720	33808	3704
721	33855	3657
722	33904	3610
723	33952	3564
724	33997	3517
725	34046	3470
726	34093	3423
727	34139	3376
728	34191	3330
729	34238	3283
730	34284	3236
731	34325	3188
732	34370	3141
733	34415	3094
734	34460	3047
735	34510	3000
736	34555	2953
737	34603	2907
738	34648	2859
739	34695	2813
740	34740	2766
741	34787	2719
742	34831	2672
743	34876	2625
744	34922	2578
745	34968	2531
746	35012	2484
747	35062	2437
748	35109	2390
749	35157	2343
750	35210	2297
751	35259	2250
752	35303	2203
753	35351	2156
754	35398	2109
755	35444	2062
756	35489	2015
757	35535	1968
758	35584	1922
759	35633	1875
760	35678	1828
761	35726	1781
762	35773	1734
763	35821	1687
764	35869	1641
765	35915	1594
766	35963	1547
767	36014	1500
768	36065	1453
769	36111	1406
770	36161	1360
771	36202	1313
772	36256	1266
773	36303	1219
774	36350	1172
775	36402	1125
776	36449	1078
777	36492	1031
778	36540	985
779	36590	938
780	36639	891
781	36692	844
782	36738	797
783	36787	750
784	36836	703
785	36880	656
786	36926	609
787	36974	563
788	37024	516
789	37064	469
790	37099	422
791	37133	375
792	37179	328
793	37219	281
794	37265	234
795	37315	187
796	37363	140
797	37411	93
798	37446	46
799	37491	0
